dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce_full_discharge,6,0,age_linear,17,2820,0.7451898520459084,0.41558139849496484,0.020553221351120116,0.0342486405755377,-0.32960845355094354
calce_full_discharge,6,0,svr_rbf,17,2820,0.40599954698221086,0.27603541155092703,0.03429134731694497,0.0391268326603046,-0.12996413543128382
calce_full_discharge,6,1,age_linear,15,2420,0.6349029694026909,0.1076988970410987,0.0261126145622355,0.04518051400269725,-0.5272040723615922
calce_full_discharge,6,1,svr_rbf,15,2420,0.35432702144541994,0.15186463525830496,0.03406067037675091,0.04103755321313879,-0.20246238618711498
calce_full_discharge,6,2,age_linear,17,3081,0.7271901935581563,0.49634281382709833,0.020000921211149644,0.02898177718868237,-0.23084737973105796
calce_full_discharge,6,2,svr_rbf,17,3081,0.3573371987954378,0.23001588062396544,0.03549422236085547,0.04170815518803908,-0.12732131817147235
calce_full_discharge,6,3,age_linear,17,3081,0.7271901935581563,0.49634281382709833,0.020000921211149644,0.02898177718868237,-0.23084737973105796
calce_full_discharge,6,3,svr_rbf,17,3081,0.3573371987954378,0.23001588062396544,0.03549422236085547,0.04170815518803908,-0.12732131817147235
calce_full_discharge,6,4,age_linear,17,3139,0.7645005279622855,0.4952903637480706,0.01954703002175423,0.028793295483056418,-0.2692101642142149
calce_full_discharge,6,4,svr_rbf,17,3139,0.3889310419174278,0.1360543068263807,0.03524050312177473,0.04394612538732477,-0.2528767350910471
calce_full_discharge,6,5,age_linear,15,2420,0.6349029694026909,0.1076988970410987,0.0261126145622355,0.04518051400269725,-0.5272040723615922
calce_full_discharge,6,5,svr_rbf,15,2420,0.35432702144541994,0.15186463525830496,0.03406067037675091,0.04103755321313879,-0.20246238618711498
calce_full_discharge,6,6,age_linear,17,3139,0.7645005279622855,0.4952903637480706,0.01954703002175423,0.028793295483056418,-0.2692101642142149
calce_full_discharge,6,6,svr_rbf,17,3139,0.3889310419174278,0.1360543068263807,0.03524050312177473,0.04394612538732477,-0.2528767350910471
calce_full_discharge,6,7,age_linear,15,2420,0.694552373552463,0.2006042042218939,0.025371830486653014,0.042272991348557915,-0.4939481693305691
calce_full_discharge,6,7,svr_rbf,15,2420,0.42221362812041896,0.1799425980570834,0.03691679467821161,0.04559126849521362,-0.24227103006333556
calce_full_discharge,6,8,age_linear,15,2420,0.694552373552463,0.2006042042218939,0.025371830486653014,0.042272991348557915,-0.4939481693305691
calce_full_discharge,6,8,svr_rbf,15,2420,0.42221362812041896,0.1799425980570834,0.03691679467821161,0.04559126849521362,-0.24227103006333556
calce_full_discharge,6,9,age_linear,16,2620,0.745337367836955,0.5729987151777549,0.019976622212111456,0.02873693318519128,-0.17233865265920012
calce_full_discharge,6,9,svr_rbf,16,2620,0.3990164811096284,0.17229273528474903,0.03581883528929533,0.043569721720618126,-0.22672374582487936
calce_full_discharge,6,10,age_linear,17,3081,0.7271901935581563,0.49634281382709833,0.020000921211149644,0.02898177718868237,-0.23084737973105796
calce_full_discharge,6,10,svr_rbf,17,3081,0.3573371987954378,0.23001588062396544,0.03549422236085547,0.04170815518803908,-0.12732131817147235
calce_full_discharge,6,11,age_linear,17,3081,0.7271901935581563,0.49634281382709833,0.020000921211149644,0.02898177718868237,-0.23084737973105796
calce_full_discharge,6,11,svr_rbf,17,3081,0.3573371987954378,0.23001588062396544,0.03549422236085547,0.04170815518803908,-0.12732131817147235
calce_full_discharge,7,0,age_linear,19,3220,0.7032142035055278,0.32259311634065313,0.02192681558216216,0.03543702649721476,-0.38062108716487464
calce_full_discharge,7,0,svr_rbf,19,3220,0.44665557351382845,0.2955337554591899,0.03210928691408455,0.03933857981600975,-0.15112181805463853
