dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce,3,6,age_linear,9,1800,0.5184735259338512,0.28155695807509307,0.08157412719004864,0.10167925506607574,-0.23691656785875814
calce,3,6,svr_rbf,9,1800,0.8702357295069381,-0.43935576707110324,0.04755723671435835,0.28167724021040214,-1.3095914965780413
calce,3,7,age_linear,8,1600,0.05296775742792903,0.007961950219211644,0.13775210804979415,0.16042635939388583,-0.045005807208717385
calce,3,7,svr_rbf,8,1600,0.6337400400072913,-1.3236579756403173,0.06868324879384956,0.2570982632030603,-1.9573980156476085
calce,3,8,age_linear,8,1600,0.08517951791331568,-0.4614971028215915,0.14097909812137996,0.17784636531331985,-0.5466766207349072
calce,3,8,svr_rbf,8,1600,0.8473800186625968,-1.2653519074013033,0.05722767678964791,0.2525574002626192,-2.1127319260639004
calce,3,9,age_linear,8,1600,0.05296775742792903,0.007961950219211644,0.13775210804979415,0.16042635939388583,-0.045005807208717385
calce,3,9,svr_rbf,8,1600,0.6337400400072913,-1.3236579756403173,0.06868324879384956,0.2570982632030603,-1.9573980156476085
calce,3,10,age_linear,8,1600,0.08517951791331568,-0.4614971028215915,0.14097909812137996,0.17784636531331985,-0.5466766207349072
calce,3,10,svr_rbf,8,1600,0.8473800186625968,-1.2653519074013033,0.05722767678964791,0.2525574002626192,-2.1127319260639004
calce,3,11,age_linear,10,2000,0.4893670759501367,0.370213137059921,0.09930326335220058,0.10544205533595674,-0.1191539388902157
calce,3,11,svr_rbf,10,2000,0.9077134477819402,0.11807083660402662,0.04640928817447047,0.1734002422517959,-0.7896426111779136
calce,4,0,age_linear,13,2600,0.08565422938837819,0.039247959566847124,0.1365431267514194,0.14991556396169564,-0.046406269821531065
calce,4,0,svr_rbf,13,2600,0.8375283281419403,0.14835740807893244,0.05761616170992705,0.1264924907395253,-0.6891709200630078
calce,4,1,age_linear,11,2200,0.20719515223442708,0.11114170392876443,0.13543743601115799,0.14393929684203793,-0.09605344830566265
calce,4,1,svr_rbf,11,2200,0.8750354633092812,0.09027018728136965,0.05353147412746382,0.20060739196420171,-0.7847652760279116
calce,4,2,age_linear,9,1800,0.1747046841126767,0.07119982376403333,0.14146050626570678,0.16668098488441968,-0.10350486034864337
calce,4,2,svr_rbf,9,1800,0.7400563783154048,0.023549228903481212,0.09429283225010625,0.194092133165637,-0.7165071494119236
calce,4,3,age_linear,12,2400,0.11255197247712184,0.08265825522692871,0.1512297054755413,0.16203953412110952,-0.02989371725019313
calce,4,3,svr_rbf,12,2400,0.9071877579908263,0.0052481688034416996,0.046289813847925174,0.2109049568647932,-0.9019395891873846
